,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
208,"Tuesday, May 20, 1941",Unknown,2 N 25,101 E 55,Goh Chok Tong,"Pasir Panjang, Singapore",politician,8.0,12:00:00
209,"Tuesday, December 24, 1957",Unknown,31 N 33,65 E 45,Hamid Karzai,"Karz, Afghanistan",politician,4.5,12:00:00
210,"Friday, January 05, 1968",Unknown,13 N 5,80 E 18,Kanimozhi,Chennai,politician,5.5,12:00:00
211,"Thursday, February 03, 1966",Unknown,22 N 42,75 E 54,Usha Thakur,Indore,politician,5.5,12:00:00
212,"Wednesday, September 10, 1913",Unknown,16 N 12,74 E 42,Basappa Danappa Jatti,Savalagi,politician,5.5,12:00:00
213,"Saturday, December 18, 1937",Unknown,34 N 0,72 E 7,Sami Ul Haq,"Akora Khattak, Pakistan",politician,5.0,12:00:00
214,"Saturday, March 14, 1964",Unknown,33 N 40,73 E 0,Zaid Hamid,Islamabad,politician,5.0,12:00:00
215,"Saturday, September 08, 1962",Unknown,25 N 27,78 E 34,Pradeep Jain Aditya,Jhansi,politician,5.5,12:00:00
216,"Thursday, September 04, 1941",Kundli Sangraha (Bhat),18 N 9,76 E 6,Sushil Kumar Shinde,Osmanabad,politician,5.5,19:00:00
217,"Tuesday, June 13, 1944",Unknown,36 N 59,127 E 37,Ban Ki-moon,"Eumseong County, South Korea",politician,9.0,12:00:00
218,"Sunday, January 01, 1950",Unknown,30 N 19,76 E 24,Prem Singh Chandumajra,Patiala,politician,5.5,12:00:00
219,"Tuesday, December 12, 1978",Unknown,25 N 4,83 E 39,Pankaj Singh,"Bhabua, Uttar Pradesh",politician,5.5,12:00:00
220,"Thursday, August 27, 1908",Lagna Phal (Garg),30 N 14,98 W 39,Johnson President,Stonewall,politician,-5.0,07:00:00
221,"Saturday, January 05, 1952",Unknown,25 N 37,85 E 12,Sushil Kumar Modi,Patna,politician,5.5,12:00:00
222,"Sunday, March 21, 1954",Unknown,14 N 59,102 E 12,Prayuth Chan-ocha,Nakhon Ratchasima,politician,7.0,12:00:00
223,"Monday, August 25, 1919",Internet,31 N 42,85 W 37,George Wallace,"85 W 37, 31 N 42",politician,-6.0,03:29:59
224,"Monday, January 01, 1968",Unknown,28 N 39,77 E 13,Meenakshi Lekhi,Delhi,politician,5.5,12:00:00
225,"Wednesday, August 23, 1933",Internet,42 N 11,87 W 53,Pete Wilson,"87 W 53, 42 N 11",politician,-6.0,16:10:00
226,"Friday, November 19, 1971",Unknown,28 N 2,94 E 28,Kiren Rijiju,Arunachal Pradesh,politician,5.5,12:00:00
227,"Saturday, February 03, 1940",Unknown,23 N 17,77 E 28,Aziz Qureshi,Bhopal,politician,5.5,12:00:00
228,"Friday, August 20, 1937",Internet,47 N 54,8 E 9,George Thoma,"8 E 9, 47 N 54",politician,1.0,09:00:00
229,"Tuesday, March 14, 1972",Unknown,24 N 47,93 E 55,Irom Chanu Sharmila,Imphal,politician,5.5,12:00:00
230,"Thursday, July 26, 1979",Unknown,18 N 53,76 E 36,Pankaja Munde,Parli Vaijnath,politician,5.5,12:00:00
231,"Monday, August 19, 1918",Lagna Phal (Garg),23 N 17,77 E 28,Shankar Dayal Sharma,Bhopal,politician,5.5,10:30:00
232,"Wednesday, January 11, 1967",Unknown,15 N 11,76 E 54,G. Janardhana Reddy,Bellary,politician,5.5,12:00:00
233,"Tuesday, October 17, 1972",Unknown,30 N 14,75 E 50,Bhagwant Maan,Sangrur,politician,5.5,12:00:00
234,"Monday, March 25, 1946",Unknown,28 N 54,76 E 38,Ch. Birender Singh,Rohtak,politician,5.5,12:00:00
235,"Saturday, April 06, 1957",Unknown,26 N 10,85 E 54,Prabhat Jha,Darbhanga,politician,5.5,12:00:00
236,"Saturday, October 25, 1952",Unknown,25 N 58,76 E 9,Satya Pal Malik,Aligarh,politician,5.5,12:00:00
237,"Sunday, January 12, 1964",Unknown,26 N 50,80 E 54,Dinesh Sharma,Lucknow,politician,5.5,12:00:00
238,"Monday, September 21, 1964",Unknown,25 N 32,76 E 22,Ram Shankar,Etawah,politician,5.5,12:00:00
239,"Wednesday, November 11, 1925",Unknown,25 N 57,81 E 50,Shanti Bhushan,Allahabad,politician,5.5,12:00:00
240,"Thursday, August 13, 1840",Internet,39 N 9,84 W 26,Kate Chase,"84 W 26, 39 N 9",politician,-5.75,02:00:00
241,"Tuesday, July 12, 1949",Unknown,30 N 4,79 E 18,Rita Bahuguna,Uttarakhand,politician,5.5,12:00:00
242,"Saturday, January 11, 1975",Unknown,34 N 11,79 W 45,Matteo Renzi,Florence,politician,-5.0,12:00:00
243,"Saturday, March 15, 1947",Unknown,12 N 32,78 E 14,Munisamy Thambidurai,Krishnagiri,politician,5.5,12:00:00
244,"Saturday, January 01, 1938",Unknown,36 N 4,44 E 37,Fuad Masum,"Koya, Iraq",politician,3.0,12:00:00
245,"Sunday, January 01, 1978",Unknown,18 N 27,79 E 6,K. Kavitha,Karimnagar,politician,5.5,12:00:00
246,"Monday, July 25, 1966",Unknown,28 N 39,77 E 13,Harsimrat Kaur Badal,Delhi,politician,5.5,12:00:00
247,"Sunday, September 22, 1968",Unknown,29 N 10,75 E 45,Kuldeep Bishnoi,Hissar,politician,5.5,12:00:00
248,"Friday, April 06, 1962",Unknown,21 N 10,79 E 12,Sanjay Joshi,Nagpur,politician,5.5,12:00:00
249,"Wednesday, April 11, 1945",Unknown,35 S 43,174 E 21,Winston Peters,Whangarei,politician,12.0,12:00:00
250,"Sunday, August 28, 1966",Unknown,18 N 58,72 E 50,Priya Dutt,Mumbai,politician,5.5,12:00:00
251,"Saturday, August 10, 1963",Unknown,26 N 9,79 E 20,Phoolan Devi,Jalaun,politician,5.5,12:00:00
252,"Thursday, August 09, 1973",Unknown,16 N 6,78 E 20,Pratik Prakashbapu Patil,Kolhapur,politician,5.5,12:00:00
253,"Tuesday, January 08, 1957",Unknown,27 N 8,81 E 58,Brij Bhushan Sharan Singh,Gonda,politician,5.5,12:00:00
254,"Wednesday, April 29, 1959",Unknown,28 N 36,77 E 12,Ratna Singh,New Delhi,politician,5.5,12:00:00
255,"Wednesday, March 22, 1972",Dirty Data,31 N 58,77 E 7,Sanjay Singh,Sultanpur,politician,5.5,00:00:00
256,"Tuesday, March 25, 1958",Dirty Data,30 N 56,75 E 52,Yograj Singh,Ludhiana,politician,5.5,12:00:00
257,"Sunday, October 5, 1952",Astrology of Professions (Pathak),31 N 32,74 E 22,Imran Khan,Lahore,politician,5.0,06:45:00
258,"Friday, December 3, 1982",Dirty Data,26 N 18,73 E 8,Mithali Raj,Jodhpur,politician,5.5,00:00:00
259,"Tuesday, June 4, 1991",Dirty Data,43 S 33,172 E 47,Ben Stokes,Christchurch,cricket,12.0,00:00:00
260,"Friday, May 20, 1977",Dirty Data,28 N 36,77 E 12,Anjum Chopra,New Delhi,cricket,5.5,00:00:00
261,"Tuesday, April 24, 1973",Astrology of Professions (Pathak),18 N 58,72 E 50,Sachin Tendulkar,Mumbai,cricket,5.5,14:25:00
262,"Tuesday, November 11, 1997",Dirty Data,30 N 10,74 E 58,Mayank Markande,Bhatinda,cricket,5.5,00:00:00
263,"Thursday, May 20, 1993",Dirty Data,28 N 27,77 E 1,Rahul Tewatia,Gurgaon,cricket,5.5,00:00:00
264,"Friday, August 07, 1992",Dirty Data,27 N 9,78 E 0,Deepak Chahar,Agra,cricket,5.5,00:00:00
265,"Saturday, November 05, 1994",Dirty Data,23 N 22,85 E 20,Monu Kumar,Ranchi,cricket,5.5,00:00:00
266,"Saturday, October 04, 1997",Dirty Data,29 N 52,77 E 53,Rishabh Pant,Roorkee,cricket,5.5,00:00:00
267,"Tuesday, July 07, 1981",765 Notable Horoscopes,23 N 22,85 E 20,M S Dhoni,Ranchi,cricket,5.5,11:15:00
268,"Thursday, December 26, 1996",Dirty Data,6 N 50,58 W 12,Shimron Hetmyer,Georgetown,cricket,-3.0,00:00:00
269,"Friday, February 15, 1991",Dirty Data,28 N 39,77 E 13,Milind Kumar,Delhi,cricket,5.5,00:00:00
270,"Friday, July 07, 2000",Dirty Data,11 N 0,76 E 2,Devdutt Padikkal,"Edapal, Malappuram",cricket,5.5,00:00:00
271,"Tuesday, July 30, 1991",Dirty Data,29 S 49,31 E 1,Heinrich Klaasen,Pretoria,cricket,2.0,00:00:00
272,"Friday, November 08, 1996",Dirty Data,28 N 39,77 E 13,Himmat Singh,Delhi,cricket,5.5,00:00:00
273,"Friday, October 25, 2002",Dirty Data,22 N 30,88 E 20,Prayas Ray Barman,Calcutta,cricket,5.5,00:00:00
274,"Saturday, March 26, 1994",Dirty Data,18 N 34,73 E 58,Shubham Ranjane,Pune,cricket,5.5,00:00:00
275,"Thursday, November 21, 1991",Dirty Data,18 N 58,72 E 50,Shashank Singh,Mumbai,cricket,5.5,00:00:00
276,"Wednesday, August 04, 1993",Dirty Data,54 N 0,2 W 0,Liam Livingstone,England,cricket,0.0,00:00:00
277,"Monday, January 25, 1993",Dirty Data,31 S 56,115 E 50,Ashton Turner,Perth,cricket,7.0,00:00:00
278,"Saturday, October 31, 1992",Dirty Data,30 N 56,75 E 52,Ish Sodhi,Ludhiana,cricket,5.5,00:00:00
279,"Thursday, April 05, 2001",Dirty Data,25 N 57,87 E 22,Rasikh Salam,Srinagar,cricket,5.5,00:00:00
280,"Wednesday, September 20, 1995",Dirty Data,32 N 4,76 E 16,Pankaj Jaiswal,Kangra,cricket,5.5,00:00:00
281,"Saturday, March 28, 1998",Dirty Data,30 N 19,76 E 24,Anmolpreet Singh,Patiala,cricket,5.5,00:00:00
282,"Tuesday, November 16, 1993",Dirty Data,33 S 55,18 E 22,Anrich Nortje,Cape Town,cricket,2.0,00:00:00
283,"Friday, February 20, 1998",Dirty Data,16 N 20,80 E 27,Prithvi Raj,Guntur,cricket,5.5,00:00:00
284,"Thursday, October 27, 1988",Dirty Data,19 N 11,77 E 21,Shrikant Mundhe,Nanded,cricket,5.5,00:00:00
285,"Wednesday, November 09, 1994",Dirty Data,21 N 10,79 E 12,Nikhil Naik,Sindhudurg,cricket,5.5,00:00:00
286,"Wednesday, June 03, 1998",Dirty Data,51 N 17,0 E 30,Sam Curran,Northampton,cricket,0.0,00:00:00
287,"Saturday, October 25, 1986",Dirty Data,51 N 30,0 W 5,Harry Gurney,Nottingham,cricket,0.0,00:00:00
288,"Sunday, March 16, 1986",Dirty Data,51 N 30,0 W 5,Joe Denly,Canterbury,cricket,0.0,00:00:00
289,"Thursday, June 13, 1991",Dirty Data,36 S 52,174 E 46,Lockie Ferguson,Auckland,cricket,12.0,00:00:00
290,"Monday, February 19, 1996",Dirty Data,13 N 0,77 E 35,Prasidh Krishna,Bangalore,cricket,5.5,00:00:00
291,"Saturday, September 16, 1995",Dirty Data,30 N 43,76 E 47,Harpreet Brar,Zirakpur,cricket,5.5,00:00:00
292,"Thursday, June 15, 1995",Dirty Data,22 N 28,70 E 6,Agnivesh Ayachi,Saurashtra,cricket,5.5,00:00:00
293,"Friday, February 05, 1999",Dirty Data,30 N 19,76 E 24,Arshdeep Singh,Punjab,cricket,5.5,00:00:00
294,"Sunday, October 04, 1998",Dirty Data,21 N 10,79 E 12,Darshan Nalkande,Vidarbha,cricket,5.5,00:00:00
295,"Monday, March 06, 1989",Dirty Data,29 S 49,31 E 1,Hardus Viljoen,Carolina,cricket,2.0,00:00:00
296,"Monday, October 02, 1995",Dirty Data,14 S 54,64 W 50,Nicolas Pooran,Trinidad,cricket,-4.0,00:00:00
297,"Thursday, August 10, 2000",Dirty Data,30 N 19,76 E 24,Prabhsimran Singh,Patiala,cricket,5.5,00:00:00
298,"Thursday, August 29, 1991",Dirty Data,17 N 56,77 E 35,Varun Chakravathi,Bidar,cricket,5.5,00:00:00
299,"Tuesday, October 27, 1992",Dirty Data,16 N 59,82 E 20,Bandaru Ayyappa,Kakinada,cricket,5.5,00:00:00
300,"Friday, September 08, 1995",Dirty Data,27 N 14,95 E 24,Nathu Singh,Jaipur,cricket,5.5,00:00:00
301,"Saturday, December 16, 1995",Dirty Data,31 N 38,76 E 36,Ankush Bains,Hamirpur,cricket,5.5,00:00:00
302,"Saturday, February 21, 1998",Dirty Data,6 N 50,58 W 12,Keemo Paul,Georgetown,cricket,-3.0,00:00:00
303,"Saturday, August 15, 1998",Dirty Data,36 S 2,140 E 0,Sherfane Rutherford,Kingston,cricket,-5.0,00:00:00
304,"Wednesday, July 03, 1985",Dirty Data,33 S 58,25 E 40,Colin Ingram,Port Elizabeth,cricket,2.0,00:00:00
305,"Friday, January 31, 1997",Dirty Data,18 N 34,73 E 58,Ruturaj Gaikwad,Pune,cricket,5.5,00:00:00
306,"Saturday, July 24, 1993",Dirty Data,11 N 0,76 E 2,Km Asif,Malappuram,cricket,5.5,00:00:00
307,"Friday, July 24, 1981",Unknown,33 N 44,150 E 58,Doug Bollinger,Baulkham Hills,cricket,10.0,12:00:00
308,"Tuesday, January 18, 1972",Dirty Data,18 N 58,72 E 50,Vinod Kambli,Mumbai,cricket,5.5,00:00:00
309,"Sunday, January 05, 1941",Dirty Data,23 N 17,77 E 28,Mansur Ali Khan Pataudi,Bhopal,cricket,5.5,00:00:00
310,"Sunday, November 20, 1983",Web,43 S 33,172 E 47,Neil Broom,Christchurch,cricket,12.0,00:00:00
311,"Saturday, November 05, 1988",Unknown,28 N 39,77 E 13,Virat Kohli,Delhi,cricket,5.5,10:28:00
312,"Friday, January 27, 1989",Dirty Data,18 N 52,81 E 25,Ishank Jaggi,Dantewara,cricket,5.5,00:00:00
313,"Monday, December 27, 1993",Dirty Data,28 N 39,77 E 13,Nitish Rana,Delhi,cricket,5.5,00:00:00
314,"Friday, November 04, 1994",Dirty Data,22 S 0,142 E 0,Billy Stanlake,Queensland,cricket,7.0,00:00:00
315,"Sunday, March 13, 1994",Dirty Data,17 N 22,78 E 26,Mohammed Siraj,Hyderabad,cricket,5.5,00:00:00
316,"Wednesday, March 02, 1988",Dirty Data,28 N 36,77 E 12,Anureet Singh,New Delhi,cricket,5.5,00:00:00
317,"Saturday, December 04, 1993",Dirty Data,20 N 25,85 E 15,Ankit Rajpoot,Kanpur,cricket,5.5,12:00:00
318,"Saturday, January 11, 1992",Dirty Data,6 N 56,79 E 58,Dushmantha Chameera,Colombo,cricket,5.5,00:00:00
319,"Sunday, December 20, 1998",Dirty Data,34 N 30,69 E 13,Zahir Khan,Kabul,cricket,4.5,00:00:00
320,"Thursday, August 09, 1990",Dirty Data,14 S 27,132 E 20,Darcy Short,Katherine,cricket,7.0,00:00:00
321,"Saturday, March 02, 1991",Dirty Data,23 N 22,85 E 20,Rahul Tripathi,Ranchi,cricket,5.5,00:00:00
322,"Wednesday, May 03, 1995",Dirty Data,17 N 22,78 E 26,Tanmay Agarwal,Hyderabad,cricket,5.5,00:00:00
323,"Sunday, September 29, 1996",Dirty Data,23 N 17,77 E 28,Ricky Bhui,Bhopal,cricket,5.5,00:00:00
324,"Saturday, February 03, 1990",Dirty Data,17 N 22,78 E 26,Mehdi Hasan,Hyderabad,cricket,5.5,00:00:00
325,"Monday, May 27, 1991",Dirty Data,11 N 38,78 E 8,Thangarasu Natarajan,Salem,cricket,5.5,00:00:00
326,"Saturday, September 11, 1993",Dirty Data,10 N 0,76 E 16,Basil Thampi,Ernakulam,cricket,5.5,00:00:00
327,"Tuesday, October 04, 1988",Dirty Data,59 N 52,13 W 7,Chris Jordan,Barbados,cricket,12.0,00:00:00
328,"Tuesday, January 01, 1985",Dirty Data,34 N 1,69 E 19,Mohammad Nabi,Logar Province,cricket,4.3,00:00:00
329,"Monday, July 18, 1988",Dirty Data,13 N 7,59 W 52,Carlos Brathwaite,Barbados,cricket,12.0,00:00:00
330,"Friday, December 05, 1997",Dirty Data,26 N 10,75 E 50,Khaleel Ahmed,Tonk,cricket,5.5,00:00:00
331,"Wednesday, April 19, 1995",Dirty Data,28 N 54,76 E 38,Deepak Hooda,Rohtak,cricket,5.5,00:00:00
332,"Saturday, November 07, 1987",Dirty Data,13 N 0,77 E 35,Aniruddha Joshi,Bangalore,cricket,5.5,00:00:00
333,"Saturday, September 16, 1989",Dirty Data,15 N 30,75 E 4,Pavan Deshpande,Dharwar,cricket,5.5,00:00:00
334,"Friday, March 13, 1992",Dirty Data,28 N 5,75 E 30,Kulwant Khejroliya,Jhunjhunu,cricket,5.5,00:00:00
335,"Saturday, September 08, 1990",Dirty Data,9 N 50,78 E 30,Murugan Ashwin,Sivaganga,cricket,5.5,00:00:00
336,"Monday, November 23, 1992",Dirty Data,29 N 41,76 E 59,Navdeep Saini,Karnal,cricket,5.5,00:00:00
337,"Monday, October 27, 1997",Dirty Data,18 N 58,72 E 50,Sarfaraz Khan,Mumbai,cricket,5.5,00:00:00
338,"Tuesday, November 16, 1999",Dirty Data,27 N 12,73 E 44,Mahipal Lomror,Nagaur,cricket,5.5,00:00:00
339,"Wednesday, August 04, 1982",Dirty Data,22 N 42,75 E 54,Jatin Saxena,Indore,cricket,5.5,00:00:00
340,"Wednesday, October 07, 1992",Dirty Data,31 N 10,77 E 17,Prashant Chopra,Shimla,cricket,5.5,00:00:00
341,"Saturday, September 04, 1993",Dirty Data,13 N 0,77 E 35,Shreyas Gopal,Bangalore,cricket,5.5,00:00:00
342,"Friday, October 07, 1994",Dirty Data,9 N 10,76 E 31,Sudhesan Midhun,Kayankulam,cricket,5.5,00:00:00
343,"Wednesday, July 09, 1997",Dirty Data,18 N 58,72 E 50,Aryaman Vikram Birla,Mumbai,cricket,5.5,00:00:00
344,"Wednesday, July 09, 1997",Dirty Data,18 N 58,72 E 50,Aryaman Vikram Birla,Mumbai,cricket,5.5,00:00:00
345,"Thursday, October 20, 1988",Dirty Data,13 N 0,77 E 35,Krishnappa Gowtham,Bangalore,cricket,5.5,00:00:00
346,"Saturday, April 01, 1995",Dirty Data,13 N 0,59 W 30,Jofra Archer,Bridgetown,cricket,-4.0,00:00:00
347,"Wednesday, July 15, 1998",Dirty Data,28 N 35,78 E 34,Mohsin Khan,Sambhal,cricket,5.5,00:00:00
348,"Monday, November 30, 1998",Dirty Data,25 N 52,85 E 47,Anukul Roy,Samastipur,cricket,5.5,00:00:00
349,"Sunday, September 10, 1989",Dirty Data,31 N 35,74 E 56,Sharad Lumba,Amritsar,cricket,5.5,00:00:00
350,"Saturday, May 23, 1992",Dirty Data,18 N 58,72 E 50,Siddhesh Lad,Mumbai,cricket,5.5,00:00:00
351,"Sunday, May 05, 1991",Dirty Data,9 N 34,76 E 31,Md Nidheesh,Kottayam,cricket,5.5,00:00:00
352,"Monday, May 25, 1992",Dirty Data,20 N 38,84 E 27,Tajinder Singh,Dholpur,cricket,5.5,00:00:00
353,"Friday, April 20, 1990",Dirty Data,39 N 11,94 W 1,Jason Behrendorff,Camden,cricket,-5.0,00:00:00
354,"Wednesday, August 04, 1999",Dirty Data,23 N 42,81 E 50,Rahul Chahar,Bharatpur,cricket,5.5,00:00:00
355,"Friday, January 30, 1987",Dirty Data,22 S 0,142 E 0,Ben Cutting,Queensland,cricket,7.0,00:00:00
356,"Friday, December 27, 1991",Dirty Data,14 S 54,64 W 50,Evin Lewis,Trinidad,cricket,-4.0,00:00:00
357,"Thursday, June 18, 1998",Dirty Data,25 N 37,85 E 12,Ishan Kishan,Patna,cricket,5.5,00:00:00
358,"Sunday, March 24, 1991",Dirty Data,23 N 3,72 E 40,Krunal Pandya,Ahmedabad,cricket,5.5,00:00:00
359,"Monday, November 11, 1996",Dirty Data,34 N 25,74 E 39,Mayank Dagar,Bandipora,cricket,5.5,00:00:00
360,"Monday, November 11, 1996",Dirty Data,34 N 25,74 E 39,Mayank Dagar,Bandipora,cricket,5.5,00:00:00
361,"Wednesday, August 21, 1985",Dirty Data,28 N 50,76 E 10,Pardeep Sahu,Bhiwani,cricket,5.5,00:00:00
362,"Monday, November 01, 1993",Dirty Data,34 N 25,74 E 39,Manzoor Dar,Bandipora,cricket,5.5,00:00:00
363,"Monday, May 10, 1993",Dirty Data,26 N 50,80 E 54,Akshdeep Nath,Lucknow,cricket,5.5,00:00:00
364,"Thursday, June 23, 1994",Dirty Data,33 S 53,151 E 10,Ben Dwarshuis,Sydney,cricket,7.0,00:00:00
365,"Thursday, December 10, 1992",Dirty Data,29 N 32,75 E 4,Barinder Sran,Sirsa,cricket,5.5,00:00:00
366,"Saturday, March 14, 1992",Dirty Data,16 N 35,80 E 20,Apoorv Wankhade,Amaravati,cricket,5.5,00:00:00
367,"Sunday, December 21, 1986",Dirty Data,13 N 0,59 W 30,Javon Searles,Bridgetown,cricket,-4.0,00:00:00
368,"Friday, May 12, 1989",Dirty Data,29 S 49,31 E 1,Cameron Delport,Durban,cricket,2.0,00:00:00
369,"Sunday, October 12, 1997",Dirty Data,25 N 58,76 E 9,Rinku Singh,Aligarh,cricket,5.5,00:00:00
370,"Wednesday, September 08, 1999",Dirty Data,30 N 26,74 E 4,Shubman Gill,Fazilka,cricket,5.5,00:00:00
371,"Thursday, November 26, 1998",Dirty Data,28 N 40,77 E 26,Shivam Mavi,Noida,cricket,5.5,00:00:00
372,"Tuesday, December 28, 1999",Dirty Data,25 N 43,71 E 25,Kamlesh Nagarkoti,Barmer,cricket,5.5,00:00:00
373,"Friday, December 12, 1986",Dirty Data,31 S 56,115 E 50,Andrew Tye,Perth,cricket,7.0,00:00:00
374,"Wednesday, October 16, 1991",Dirty Data,19 N 42,72 E 50,Shardul Thakur,Palghar,cricket,5.5,00:00:00
375,"Wednesday, September 16, 1992",Dirty Data,23 N 24,88 E 56,Sayan Ghosh,Nadia,cricket,5.5,00:00:00
376,"Wednesday, August 02, 2000",Dirty Data,28 N 1,83 E 4,Sandeep Lamichhane,"Syangja, Nepal",cricket,5.75,00:00:00
377,"Friday, January 15, 1999",Dirty Data,28 N 39,77 E 13,Manjot Kalra,Delhi,cricket,5.5,00:00:00
378,"Monday, January 22, 1990",Dirty Data,28 N 39,77 E 13,Jayant Yadav,Delhi,cricket,5.5,00:00:00
379,"Saturday, August 10, 1985",Dirty Data,28 N 39,77 E 13,Abhishek Sharma,Delhi,cricket,5.5,00:00:00
380,"Friday, December 13, 1996",Dirty Data,22 N 42,75 E 54,Avesh Khan,Indore,cricket,5.5,00:00:00
381,"Wednesday, March 11, 1987",Dirty Data,29 S 49,31 E 1,Colin Munro,Durban,cricket,2.0,00:00:00
382,"Sunday, December 24, 1995",Dirty Data,11 N 0,76 E 58,Narayan Jagadeesan,Coimbatore,cricket,5.5,00:00:00
383,"Saturday, December 12, 1981",300 Important Horoscopes (MK Vishwanath),30 N 43,76 E 47,Yuvraj Singh,Chandigarh,cricket,5.5,21:45:00
384,"Sunday, September 20, 1998",Internet,34 N 30,70 E 29,Rashid Khan,Nangarhar,cricket,4.5,00:00:00
385,"Tuesday, December 06, 1994",Internet,18 N 58,72 E 50,Shreyas Iyer,Mumbai,cricket,5.5,00:00:00
386,"Tuesday, October 05, 1999",Internet,13 N 5,80 E 18,Washington Sundar,Chennai,cricket,5.5,00:00:00
387,"Thursday, January 28, 1993",Internet,21 N 10,79 E 12,Rajneesh Gurbani,Nagpur,cricket,5.5,00:00:00
388,"Tuesday, November 09, 1999",Internet,19 N 12,72 E 58,Prithvi Shaw,Thane,cricket,5.5,00:00:00
389,"Monday, September 03, 1990",Web,28 N 55,78 E 28,Mohammed Shami,"Amroha, UP",cricket,5.5,00:00:00
390,"Wednesday, December 14, 1994",Web,20 N 25,85 E 15,Kuldeep Yadav,Kanpur,cricket,5.5,00:00:00
391,"Saturday, April 18, 1992",Web,12 N 54,74 E 51,K. L. Rahul,Mangalore,cricket,5.5,00:00:00
392,"Thursday, April 23, 1981",Web,40 S 12,176 E 8,Luke Ronchi,Dannevirke,cricket,12.0,00:00:00
393,"Wednesday, February 05, 1992",Web,37 S 47,175 E 19,Mitchell Santner,Hamilton,cricket,12.0,00:00:00
394,"Sunday, December 11, 1988",Web,35 S 43,174 E 21,Tim Southee,Whangarei,cricket,12.0,00:00:00
395,"Wednesday, May 07, 1980",Web,41 S 17,174 E 47,Jeetan Patel,Wellington,cricket,12.0,00:00:00
396,"Monday, September 17, 1990",Web,36 S 52,174 E 46,James Neesham,Auckland,cricket,12.0,00:00:00
397,"Monday, April 13, 1992",Web,40 S 35,175 E 55,Adam Milne,Palmerston North,cricket,12.0,00:00:00
398,"Wednesday, June 11, 1986",Web,39 S 39,176 E 52,Mitchell Mcclenaghan,Hastings,cricket,12.0,00:00:00
399,"Thursday, April 02, 1992",Web,43 S 33,172 E 47,Tom Latham,Christchurch,cricket,12.0,00:00:00
400,"Tuesday, July 22, 1986",Web,17 S 50,31 E 3,Colin De Grandhomme,"Harare, Zimbabwe",cricket,2.0,00:00:00
401,"Saturday, July 22, 1989",Web,38 S 9,176 E 16,Trent Boult,Rotorua,cricket,12.0,00:00:00
402,"Thursday, December 13, 1990",Web,43 S 33,172 E 47,Corey Anderson,Christchurch,cricket,12.0,00:00:00
